No,Hit,Name,Probability,E-value,P-value,Score,SS,Cols,Query HMM,Template,HMM,Query Coverage,Similarity,Identities,Organism
14,4pxz_a,"p2y purinoceptor 12, soluble cytochrome b562; purinergic receptor p2y12, agonist-bound, g-protein coupled receptor (gpcr), membrane protein, signaling protein-agonist complex, psi-biology, gpcr network; het: olc, clr, 6ad; 2.5a ",100.0,4.7e-32,7e-37,214.9,36.0,314,"[2, 318]",24-449,466,98.742,0.145,13.0,homo sapiens
15,6u1n_r,"muscarinic acetylcholine receptor m2, vasopressin v2 receptor chimera; arrestin, gpcr, complex, signaling, signaling protein-immune system complex; het: sep, tpo, 2cu;",100.0,7.6e-32,1.1e-36,216.4,37.5,314,"[1, 318]",19-483,509,98.742,0.366,23.0,homo sapiens
16,8yuv_r,"histamine h3 receptor; gpcr, h3r, histamine receptor, membrane protein/immune system, membrane protein-immune system complex; het: a1ly4, clr;",100.0,8.1e-32,1.2e-36,213.6,37.0,310,"[2, 315]",40-461,461,97.484,0.313,21.0,homo sapiens
17,7zly_a,"hydroxycarboxylic acid receptor 2,soluble cytochrome b562; niacin receptor, hydroxycarboxylic acid receptor 2, hca2, gpcr, membrane protein structure, membrane protein; het: olc, ola; 2.7a ",100.0,1.6e-32,2.3e-37,215.6,32.4,306,"[2, 313]",17-431,431,96.226,0.193,16.0,homo sapiens
18,6li2_a,"chimera of g-protein coupled receptor 52 and rubredoxin; human gpr52 receptor, class a, orphan gpcr, membrane protein, apo form, rubredoxin, lcp; het: olc; 2.8a ",100.0,6.4e-32,9.3e-37,208.1,35.1,312,"[2, 318]",15-365,372,98.113,0.244,20.0,homo sapiens
19,5nj6_a,"proteinase-activated receptor 2,soluble cytochrome b562,proteinase-activated receptor 2; membrane protein, gpcr, 7tm; 4.0a ",100.0,4.2e-32,6.1e-37,213.6,34.5,316,"[2, 318]",12-427,437,99.371,0.093,12.0,homo sapiens
20,7ld3_r,"chimera protein of muscarinic acetylcholine receptor m4 and adenosine receptor a1; signaling protein, membrane protein, active-state g protein-coupled receptor, adenosine a1 receptor, pam, allosteric modulator; het: xtd, adn; 3.2a ",100.0,1.5e-31,2.2e-36,207.2,36.6,317,"[2, 318]",54-379,387,99.686,0.909,48.0,homo sapiens
21,6rz7_a,"cysteinyl leukotriene receptor 2,soluble cytochrome b562,cysteinyl leukotriene receptor 2; gpcr, lcp, membrane protein, cysteinyl leukotriene, cyslt2, cysltr2, cyslt2r, asthma, bril, cysteinyl leukotriene receptor 2; het: pge, ola, olc, clr, knw; 2.43a ",100.0,5.7e-32,8.3e-37,210.8,33.6,294,"[2, 299]",12-405,405,92.453,0.264,18.0,homo sapiens
22,4ug2_b,"thermostabilised human a2a receptor; signaling protein, g seven-helix receptor, integral membrane protein, agonist bound form, thermostabilising point mutations, gpcr, 7tm; het: olb, ngi; 2.6a ",100.0,3.1e-31,4.5e-36,200.4,36.1,311,"[8, 318]",2-324,325,97.799,0.699,40.0,homo sapiens
23,8xir_a,"somatostatin receptor type 3; gpcr, sstr3, pasireotide, membrane protein; het: ty5, 004, a1d5e, dtr; 2.52a ",100.0,3.3e-31,4.9e-36,207.6,37.3,312,"[1, 318]",33-349,418,98.113,0.24,21.0,homo sapiens
24,6igk_a,"endothelin receptor type b,endolysin,endothelin receptor type b; alpha helical, signaling protein-protein binding complex; het: olc, cit; 2.0a ",100.0,7.3e-32,1.1e-36,215.7,34.3,303,"[1, 303]",28-498,498,95.283,0.268,19.0,homo sapiens
25,6kux_a,"alpha2a adrenergic receptor; alpha2a adrenergic receptor, antagonist, gpcr, signaling protein; het: flc, peg, e3f; 2.7a ",100.0,9.1e-32,1.3e-36,209.0,33.6,296,"[2, 301]",4-395,395,93.082,0.322,22.0,homo sapiens
26,5uiw_a,"c-c chemokine receptor type 5,rubredoxin chimera; g-protein coupled receptor, chemokine receptor, hiv entry inhibitor, hiv-1 r5 isolates co-receptor, receptor-ligand complex, signaling protein; het: olc, ola; 2.204a ",100.0,2e-31,3e-36,207.9,35.7,316,"[2, 318]",22-386,411,99.371,0.234,16.0,homo sapiens
27,7m8w_a,"prostaglandin d2 receptor 2, endolysin chimera; prostaglandin d2 receptor, crth2, 15r-methyl-pgd2, g protein-coupled receptor, gpcr, endolysin fusion, membrane protein, lcp; het: ycm, flc, yss, so4; 2.61a ",100.0,1e-31,1.5e-36,213.4,34.5,316,"[2, 318]",23-465,470,99.371,0.169,16.0,homo sapiens
28,8j18_r,"g-protein coupled receptor 84; gpcr, immune system; het: hxd; 2.89a ",100.0,6.9e-32,1e-36,210.6,32.8,297,"[2, 308]",20-406,406,93.396,0.261,21.0,homo sapiens
29,5vbl_b,"apelin receptor,rubredoxin,apelin receptor chimera; human apelin receptor complex, agonist peptide, amg3054, gpcr, rubredoxin, membrane protein, lcp, synchrotron radiation, peptide-gcpr recognition; het: alc, hrg, olc, 200, oic; 2.6a ",100.0,1.4e-31,2.1e-36,208.6,34.4,317,"[2, 318]",36-404,407,99.686,0.149,16.0,homo sapiens
30,4buo_a,"neurotensin receptor type 1; signaling protein, g protein coupled receptor, membrane protein; het: gly; 2.75a ",100.0,3.6e-31,5.3e-36,200.9,35.6,311,"[2, 312]",8-335,335,97.799,0.215,17.0,rattus norvegicus
31,7ym8_a,"alpha1a adrenergic receptor; gpcr, nanobody, agonist, complex, membrane protein; het: y01, j5c; 2.92a ",100.0,3.7e-31,5.5e-36,210.9,37.0,308,"[2, 318]",40-464,480,96.855,0.386,25.0,homo sapiens
32,5zkc_a,"muscarinic acetylcholine receptor m2,apo-cytochrome b562,muscarinic acetylcholine receptor m2; gpcr crystallography, rationally thermostabilized mutant, membrane protein-inhibitor complex; het: 3c0; 2.3a ",100.0,1.4e-31,2e-36,209.7,33.9,309,"[2, 314]",15-421,421,97.17,0.377,23.0,homo sapiens
33,7f61_a,"histamine h3 receptor; gpcr, histamine receptor, membrane protein; het: 1ib, clr; 2.6a ",100.0,2.3e-31,3.3e-36,207.8,34.9,295,"[5, 303]",1-407,407,92.767,0.338,21.0,homo sapiens
34,8th3_a,"at118-h nanobody, type-1 angiotensin ii receptor, soluble cytochrome b562 complex; g protein-coupled receptor, nanobody, signaling protein-immune system complex; het: y01;",100.0,7.5e-32,1.1e-36,219.7,33.4,317,"[2, 318]",153-580,582,99.686,0.22,18.0,camelidae
35,4xnv_a,"p2y purinoceptor 1, rubredoxin, p2y purinoceptor 1; human p2y1 receptor, g protein coupled receptor, platelet activation, membrane protein, inhibitor complex, transport protein-inhibitor complex; het: y01, olc, clr, 1pe, bur; 2.2a ",100.0,4.7e-31,6.9e-36,206.5,36.5,317,"[1, 318]",39-408,421,99.686,0.119,14.0,homo sapiens
36,7wc8_a,"5-hydroxytryptamine receptor 2a,5-hydroxytryptamine receptor 2a,soluble cytochrome b562; serotonin 2a receptor, serotonin, 5-ht, membrane protein, lumateperone; het: olc, clr, 1pe, 92s; 2.45a ",100.0,1.7e-31,2.5e-36,205.9,33.0,293,"[5, 305]",1-376,376,92.138,0.362,25.0,homo sapiens
37,8tb7_r,"g-protein coupled receptor 61,soluble cytochrome b562; gpcr, inverse agonist, membrane protein, bril, signaling protein; het: zob;",100.0,3.2e-31,4.7e-36,214.5,35.9,315,"[1, 318]",40-458,543,99.057,0.263,20.0,homo sapiens
38,5wiu_a,"d(4) dopamine receptor, soluble cytochrome b562 chimera; gpcr, dopamine receptor, antagonist, sodium, signaling protein-antagonist complex; het: aqd, ola, peg, po4; 1.962a ",100.0,1.8e-31,2.7e-36,209.1,33.4,290,"[2, 301]",28-422,422,91.195,0.362,26.0,homo sapiens
39,4dkl_a,"mu-type opioid receptor, lysozyme chimera; g-protein coupled receptor, 7 transmembrane receptor, signaling protein-antagonist complex; het: 1pe, clr, so4, mpg, bf0; 2.8a ",100.0,1.9e-31,2.9e-36,211.6,33.8,305,"[1, 307]",6-464,464,95.912,0.229,17.0,mus musculus
40,8w88_r,"trace amine-associated receptor 1; taar1, sep-363856, gpcr, antipsychotics, membrane protein; het: ujl, clr; 2.6a ",100.0,2.1e-31,3e-36,202.6,32.2,316,"[2, 317]",13-339,339,99.371,0.283,24.0,homo sapiens
41,7f1t_a,"c-c motif chemokine 3,c-c chemokine receptor type 5,rubredoxin,c-c chemokine receptor type 5; g protein-coupled receptor, chemokine receptor ccr5, mip-1a, signaling protein; 2.6a ",100.0,5.2e-31,7.6e-36,210.6,35.7,316,"[2, 318]",112-476,491,99.371,0.194,16.0,homo sapiens
42,7t94_a,"muscarinic acetylcholine receptor m2,muscarinic acetylcholine receptor m2 chimera; gpcr, signaling complex, muscarinic receptor, acetylcholine, membrane protein; het: ach, 2cu; 3.16a ",100.0,1.9e-30,2.7e-35,198.4,37.1,312,"[2, 317]",18-353,353,98.113,0.344,22.0,homo sapiens
43,8fmz_a,"neurotensin receptor type 1; gpcr, neurotensin receptor, allosterism, sbi-553, membrane protein;",100.0,1.5e-30,2.1e-35,202.8,37.0,317,"[2, 318]",39-390,405,99.686,0.221,17.0,escherichia coli
44,8jxw_r,"histamine h4 receptor; gpcr-g-protein complex, membrane protein; het: vcf; 3.01a ",100.0,5.7e-31,8.3e-36,204.2,34.5,305,"[2, 314]",5-390,390,95.912,0.329,22.0,homo sapiens
45,8w8s_r,"probable g-protein coupled receptor 101; gpcr, orphan receptor, gpr101, constitutive activity, cryo-em, structural protein, membrane protein; het: u7d;",100.0,1.4e-30,2e-35,209.2,37.6,312,"[1, 318]",20-490,508,98.113,0.357,24.0,homo sapiens
46,3vw7_a,"proteinase-activated receptor 1, lysozyme; high resolution structure, protease-activated receptor 1, inactive conformation, antagonist vorapaxar, g protein-coupled receptor, signaling protein, membrane; het: vpx, olc; 2.2a ",100.0,4.7e-31,6.9e-36,210.6,34.8,318,"[1, 318]",9-484,484,100.0,0.131,14.0,homo sapiens
47,7dh5_r,"beta-3 adrenergic receptor; gpcr, membrane protein; het: h6u; 3.16a ",100.0,6.3e-31,9.2e-36,203.9,34.5,316,"[2, 318]",36-390,395,99.371,0.368,26.0,homo sapiens
48,6ak3_a,"prostaglandin e2 receptor ep3 subtype,soluble cytochrome b562; gpcr, lipid, signaling protein, prostanoid receptor, membrane protein; het: p2e, pov; 2.9a ",100.0,3.6e-31,5.3e-36,207.1,33.3,314,"[3, 316]",1-342,418,98.742,0.202,18.0,homo sapiens
49,8hdo_r,"adenosine a2b receptor; gpcr, a2br, bay 60-6583, membrane protein; het: clr, i5d; 2.87a ",100.0,1.8e-30,2.6e-35,196.6,36.1,310,"[8, 318]",3-326,332,97.484,0.734,39.0,homo sapiens
50,3odu_b,"c-x-c chemokine receptor type 4, lysozyme chimera; structural genomics, psi-2, protein structure initiative, accelerated technologies center for gene to 3d structure, atcg3d, 7tm; het: olc, itd, ola; 2.5a ",100.0,2.4e-31,3.6e-36,213.0,32.9,303,"[2, 308]",38-502,502,95.283,0.163,17.0,homo sapiens
51,5xjm_a,"type-2 angiotensin ii receptor,soluble cytochrome b562,type-2 angiotensin ii receptor; class a gpcr, regulate human blood pressure, angiotensin receptors, signaling protein; 3.2a ",100.0,2.1e-31,3e-36,208.7,31.8,314,"[2, 316]",1-422,422,98.742,0.156,15.0,mus musculus
52,6gps_a,"c-c chemokine receptor type 2,rubredoxin,c-c chemokine receptor type 2; gpcr, signalling, drug-design, signaling protein; het: f7n; 3.3a ",100.0,3.8e-31,5.6e-36,207.6,33.0,312,"[2, 318]",31-391,429,98.113,0.186,14.0,homo sapiens
53,7ej8_r,"alpha-2a adrenergic receptor; alpha2a-adrenergic receptor, signaling complex, cryo-em, membrane protein; het: j59; 3.0a ",100.0,7.7e-31,1.1e-35,208.3,34.9,300,"[1, 304]",37-463,465,94.34,0.326,22.0,homo sapiens
54,5tgz_a,"cannabinoid receptor 1,flavodoxin,cannabinoid receptor 1; membrane protein, g protein-coupled receptor, human cannabinoid receptor cb1, marijuana, stabilizing antagonist am6538, lipidic cubic phase; het: ola, fmn, olc, zdg; 2.8a ",100.0,6.6e-31,9.6e-36,207.9,34.4,300,"[1, 309]",11-452,452,94.34,0.325,21.0,homo sapiens
55,8e9w_a,"muscarinic acetylcholine receptor m3; gpcr, deschloroclozapine, dcz, active state, hm3dq, hm3r, dreadd, membrane protein; het: wec;",100.0,1.2e-30,1.7e-35,200.4,34.6,313,"[2, 318]",13-355,365,98.428,0.379,23.0,homo sapiens
56,7xwo_b,"soluble cytochrome b562,substance-k receptor; tachykinin receptor 2, neurokinin a, membrane protein;",100.0,1.5e-30,2.1e-35,208.7,36.5,314,"[2, 318]",177-497,505,98.742,0.278,20.0,homo sapiens
57,6j20_a,"substance-p receptor,endolysin; gpcr, complex, antagonist, signalling protein, membrane protein; het: gbq; 2.7a ",100.0,6.6e-31,9.6e-36,207.0,33.8,309,"[1, 312]",20-441,441,97.17,0.296,19.0,homo sapiens
58,4iar_a,"chimera protein of human 5-hydroxytryptamine receptor 1b and e. coli soluble cytochrome b562; ergotamine, novel protein engineering, gpcr network, membrane protein, psi-biology, structural genomics, gpcr, signaling protein, electron transport; het: olb, erm; 2.7a ",100.0,2.7e-31,4e-36,206.8,31.1,294,"[2, 303]",10-401,401,92.453,0.368,25.0,homo sapiens
59,5zty_a,"g protein coupled receptor,t4 lysozyme,g protein coupled receptor; gpcr, cell signaling, ligand design, membrane protein; het: so4, epe, pg4, olc, ola, 9ju, peg; 2.8a ",100.0,2.7e-31,4e-36,212.6,31.8,298,"[1, 309]",21-473,500,93.711,0.288,21.0,homo sapiens
60,7f83_b,"growth hormone secretagogue receptor type 1,soluble cytochrome b562; gpcr, ghrelin, inverse agonist, signaling protein; het: olc, 1kq; 2.94a ",100.0,1.6e-30,2.4e-35,203.4,35.5,303,"[5, 307]",2-416,416,95.283,0.198,18.0,homo sapiens
61,7r0c_a,"vasopressin v2 receptor; g-protein coupled receptor v2 receptor arrestin 2 vasopressin, membrane protein; het: sep, tpo;",100.0,3.3e-30,4.9e-35,198.8,36.6,316,"[2, 318]",34-368,378,99.371,0.146,18.0,homo sapiens
62,6os2_a,"type-1 angiotensin ii receptor,soluble cytochrome b562 bril fusion protein; gpcr, membrane protein; het: olc, clr, nag; 2.7a ",100.0,4.9e-31,7.1e-36,206.9,32.4,298,"[2, 299]",25-425,425,93.711,0.256,19.0,homo sapiens
63,5n2s_a,"soluble cytochrome b562,adenosine receptor a1; g-protein-coupled receptor, integral thermostabilizing mutations, membrane protein; het: so4, 8k8; 3.303a ",100.0,1.4e-30,2.1e-35,205.0,35.2,317,"[2, 318]",106-431,436,99.686,0.84,46.0,escherichia coli
64,2r4s_a,"beta-2 adrenergic receptor; transmembrane helix, g-protein coupled receptor, glycoprotein, lipoprotein, palmitate, phosphorylation, receptor, transducer, signaling protein; 3.4a ",100.0,3e-30,4.4e-35,196.2,35.7,313,"[4, 318]",2-338,342,98.428,0.341,25.0,mus musculus
65,8zh8_r,"pyroglutamylated rf-amide peptide receptor; gpcr, membrane protein, membrane protein-immune system complex; 3.19a ",100.0,2.5e-30,3.7e-35,201.3,35.8,318,"[1, 318]",57-391,402,100.0,0.357,22.0,homo sapiens
66,6lfl_a,"c-x-c chemokine receptor type 2,glga glycogen synthase,c-x-c chemokine receptor type 2; g protein-coupled receptor, membrane protein; het: ebx; 3.2a ",100.0,2.2e-30,3.2e-35,207.6,36.3,309,"[2, 312]",2-502,502,97.17,0.204,18.0,homo sapiens
67,8h0q_r,"gastrin-releasing peptide receptor; gpcr, neuropeptides, bombesin receptor, nmbr, membrane protein; het: clr;",100.0,2.6e-30,3.9e-35,199.8,35.3,317,"[2, 318]",30-358,384,99.686,0.2,19.0,homo sapiens
68,8wst_r,"melanin-concentrating hormone receptor 2; melanin-concentrating hormone receptors2, gpcr, membrane protein;",100.0,5.8e-30,8.6e-35,194.1,36.5,302,"[2, 307]",24-331,331,94.969,0.196,20.0,homo sapiens
69,8h4l_r,"free fatty acid receptor 4; gpcr-g-protein complex, membrane protein-immune system complex; het: hxa; 3.07a ",100.0,5.1e-30,7.5e-35,196.7,36.4,314,"[2, 318]",30-355,361,98.742,0.186,15.0,homo sapiens
70,8hqm_r,"soluble cytochrome b562,probable g-protein coupled receptor 132; gpcr, gpr132, membrane protein; het: 140; 2.95a ",100.0,7e-31,1e-35,210.9,32.9,297,"[2, 318]",162-474,510,93.396,0.163,15.0,homo sapiens
71,8ia7_r,"gastrin/cholecystokinin type b receptor; brain gut peptide receptor class a g-protein-coupled receptor, neuropeptide; het: tys;",100.0,2.6e-30,3.8e-35,204.0,35.6,314,"[2, 318]",44-426,447,98.742,0.277,22.0,mus musculus
72,7xn9_a,"somatostatin receptor type 2,endo-1,4-beta-xylanase; g protein-coupled receptor, somatostatin receptor 2, structural protein, signaling protein, signaring protein-inhibitor complex; het: epe, gi9; 2.6a ",100.0,2.6e-30,3.8e-35,211.2,36.7,316,"[2, 318]",58-555,589,99.371,0.269,22.0,homo sapiens
73,3rze_a,"histamine h1 receptor, lysozyme chimera; structural genomics, psi-biology, membrane protein, gpcr network, gpcr, hydrolase; het: 5eh, olc, po4, d7v; 3.1a ",100.0,1.3e-30,2e-35,206.2,34.0,300,"[5, 308]",1-452,452,94.34,0.322,24.0,homo sapiens
74,4bvn_a,"beta-1 adrenergic receptor; signaling protein; het: olc, mha, p32; 2.1a {meleagris gallopavo} scop: f.13.1.3",100.0,4.3e-30,6.4e-35,193.2,35.1,309,"[3, 313]",2-315,315,97.17,0.33,24.0,"unknown"
75,7ys6_a,"5-hydroxytryptamine receptor 6; gpcr, serotonin receptor, 5-ht6r, cryo-em, constitutive activity, membrane protein; het: sro;",100.0,1.1e-30,1.5e-35,195.6,31.7,293,"[10, 307]",1-304,304,92.138,0.283,23.0,homo sapiens
76,8k2w_r,"soluble cytochrome b562,c-x-c chemokine receptor type 3,kappa-type opioid receptor; g protein coupled receptor, chemokine receptor, cxcr3, amg487, complex, signaling protein; het: lpc, fi6, clr, pcw;",100.0,3e-30,4.4e-35,207.2,36.2,309,"[2, 318]",181-500,507,97.17,0.201,17.0,lama glama
77,6oij_r,"muscarinic acetylcholine receptor m1; g-protein coupled receptor-g-protein complex, neurotransmitter receptor, signaling protein; het: y01, ixo; 3.3a ",100.0,5.4e-30,7.9e-35,196.5,36.1,313,"[2, 318]",24-351,363,98.428,0.388,25.0,homo sapiens
78,7wu9_r,"prostaglandin e2 receptor ep3 subtype; gpcr, signal transduction, membrane protein, signaling protein; 3.375a ",100.0,1.8e-30,2.6e-35,196.2,33.0,297,"[7, 303]",1-325,325,93.396,0.219,19.0,homo sapiens
79,7yfc_r,"histamine h4 receptor; gpcr, aminergic receptor, histamine receptor, membrane protein; het: clr;",100.0,3e-30,4.3e-35,209.1,36.4,309,"[2, 318]",5-394,548,97.17,0.322,22.0,homo sapiens
80,8kgk_a,"g-protein coupled receptor 61; gpcr, gs, membrane protein;",100.0,2.5e-30,3.7e-35,200.4,34.5,314,"[2, 318]",41-386,390,98.742,0.224,19.0,homo sapiens
81,6bqh_a,"5-hydroxytryptamine receptor 2c,soluble cytochrome b562; human 5-ht2c receptor, gpcr, ritanserin, selectivity, bril, lcp, membrane protein; het: e2j, olc, ola; 2.7a ",100.0,1e-30,1.5e-35,206.8,32.9,310,"[2, 318]",30-442,452,97.484,0.346,25.0,homo sapiens
82,8iu2_r,"long-wave-sensitive opsin 1; long-wave-sensitive opsin 1, membrane protein; het: ret;",100.0,3.4e-30,4.9e-35,197.9,34.7,312,"[2, 318]",43-358,364,98.113,0.278,18.0,homo sapiens
83,6gdg_a,"trxa,adenosine receptor a2a; g-protein coupled receptor, adenosine, gpcr, a2a receptor, membrane protein; het: nec; 4.11a ",100.0,2.5e-30,3.7e-35,206.0,35.0,308,"[3, 310]",160-479,479,96.855,0.752,42.0,escherichia coli
84,7piu_r,"melanocortin receptor 4; gpcr, melanocortin-4 receptor, melanocortin receptors, setmelanotide, ndp-alpha-msh, alpha-msh, antagonism, agonism, appetite regulation, anti-obesity treatment, signaling protein; het: dpn; 2.58a ",100.0,1.6e-30,2.4e-35,198.5,32.5,293,"[2, 318]",42-346,346,92.138,0.327,21.0,homo sapiens
85,6zfz_a,"muscarinic acetylcholine receptor m1,endolysin,muscarinic acetylcholine receptor m1; gpcr, 7tm, membrane protein; het: olc, ola, pge, qjt, epe; 2.17a ",100.0,3.7e-30,5.4e-35,203.8,35.4,301,"[8, 312]",2-455,455,94.654,0.433,26.0,homo sapiens
86,6cmo_r,"chimera protein of soluble cytochrome b562 and rhodopsin; rhodopsin  g protein  cryo-em  structure, signaling protein; het: nag;",100.0,1.9e-30,2.8e-35,205.5,33.8,293,"[2, 299]",167-463,463,92.138,0.3,15.0,escherichia coli
87,4z36_a,"lysophosphatidic acid receptor 1,soluble cytochrome b562; human lysophosphatidic acid receptor 1 (lpa1), g-protein coupled receptor (gpcr), membrane protein, antagonist, endogenous ligand, psi-biology; het: on3, 1wv; 2.9a ",100.0,1.4e-30,2.1e-35,206.5,33.0,307,"[2, 318]",57-451,459,96.541,0.256,19.0,homo sapiens
88,8pm2_r,"trace amine-associated receptor 7f; trace-amine associated receptor, taar, mtaar7f, gpcr, receptor, g protein, membrane protein; het: y01; 2.92a ",100.0,4.9e-30,7.2e-35,197.0,35.1,315,"[2, 318]",38-363,365,99.057,0.327,26.0,homo sapiens
89,6yvr_bb,"b neurotensin receptor type 1,neurotensin receptor type 1,darpin crystallisation chaperone; gpcr-ligand complex, ntsr1, nts8-13, full agonist, membrane protein; het: bng; 2.458a ",100.0,1.3e-30,1.9e-35,207.9,33.0,303,"[2, 304]",9-330,482,95.283,0.209,16.0,rattus norvegicus
90,7xms_r,"somatostatin receptor type 4; g protein-coupled receptor, somatostatin receptor 4, cryo-em, structural protein, signaling protein;",100.0,1e-29,1.5e-34,196.0,37.0,310,"[2, 318]",46-356,375,97.484,0.233,20.0,homo sapiens
91,6kp6_a,"muscarinic acetylcholine receptor m4,glga glycogen synthase,muscarinic acetylcholine receptor m4; muscarinic acetylcholine receptors, g protein-coupled receptors, m4, mutation design, ligand screening, membrane protein; 3.0a ",100.0,4.9e-30,7.2e-35,204.9,36.2,303,"[2, 308]",1-492,492,95.283,0.391,24.0,homo sapiens
92,6li3_r,"g-protein coupled receptor 52; g-protein coupled receptor, orphan gpcr, self-activation, cryo-em, membrane protein; 3.32a ",100.0,7.1e-30,1e-34,194.2,35.4,299,"[2, 305]",30-340,340,94.025,0.292,21.0,homo sapiens
93,8w8q_c,"soluble cytochrome b562,probable g-protein coupled receptor 101; gpcr, orphan receptor, gpr101, constitutive activity, cryo-em, structural protein, membrane protein;",100.0,7.6e-30,1.1e-34,210.7,38.1,311,"[2, 318]",168-637,655,97.799,0.365,24.0,escherichia coli
94,3kj6_a,"beta-2 adrenergic receptor; transmembrane helices, cell membrane, disulfide bond, g-protein coupled receptor, glycoprotein, lipoprotein, membrane, palmitate, phosphoprotein, polymorphism, receptor; 3.4a ",100.0,7.2e-30,1.1e-34,196.0,35.6,315,"[2, 318]",24-362,366,99.057,0.338,24.0,homo sapiens
95,7dfl_r,"histamine h1 receptor; complex, membrane protein;",100.0,3.4e-30,5e-35,205.8,34.9,297,"[1, 301]",16-487,487,93.396,0.356,26.0,homo sapiens
96,5ndd_a,"lysozyme,proteinase-activated receptor 2,soluble cytochrome b562,proteinase-activated receptor 2; membrane protein, gpcr, 7tm; het: 8tz; 2.801a ",100.0,1.4e-30,2.1e-35,213.9,33.7,316,"[2, 318]",194-609,619,99.371,0.093,13.0,enterobacteria phage t4
